,Year,Player,Pos,Age,Tm,G,TS%,3P%,2P%
17662,2006,Shareef Abdur-Rahim,PF,29,SAC,72,0.588,0.227,0.536
17663,2006,Alex Acker,SG,23,DET,5,0.281,0.2,0.273
17664,2006,Malik Allen,PF,27,CHI,54,0.504,1,0.488
17665,2006,Ray Allen,SG,30,SEA,78,0.59,0.412,0.486
17666,2006,Tony Allen,PG,24,BOS,51,0.554,0.324,0.492
17667,2006,Rafer Alston,PG,29,HOU,63,0.475,0.327,0.418
17668,2006,Chris Andersen,C,27,NOK,32,0.562,,0.571
17669,2006,Alan Anderson,SF,23,CHA,36,0.52,0.414,0.415
17670,2006,Derek Anderson,SG,31,TOT,43,0.496,0.299,0.402
17671,2006,Derek Anderson,SG,31,HOU,20,0.527,0.284,0.462
17672,2006,Derek Anderson,SG,31,MIA,23,0.453,0.313,0.302
17673,2006,Shandon Anderson,SF,32,MIA,48,0.47,0.263,0.458
17674,2006,Martynas Andriuskevicius,C,19,CLE,6,0,,0
17675,2006,Carmelo Anthony,SF,21,DEN,80,0.563,0.243,0.506
17676,2006,Rafael Araujo,C,25,TOR,52,0.385,0,0.368
17677,2006,Gilbert Arenas,PG,24,WAS,80,0.581,0.369,0.485
17678,2006,Trevor Ariza,SF,20,TOT,57,0.468,0.2,0.416
17679,2006,Trevor Ariza,SF,20,NYK,36,0.459,0.333,0.42
17680,2006,Trevor Ariza,SF,20,ORL,21,0.485,0,0.41
17681,2006,Darrell Armstrong,PG,37,DAL,62,0.444,0.229,0.4
17682,2006,Carlos Arroyo,PG-SG,26,TOT,77,0.512,0.35,0.45
17683,2006,Carlos Arroyo,PG,26,DET,50,0.433,0.333,0.364
17684,2006,Carlos Arroyo,SG,26,ORL,27,0.569,0.357,0.512
17685,2006,Chucky Atkins,PG-SG,31,TOT,71,0.526,0.354,0.431
17686,2006,Chucky Atkins,SG,31,WAS,28,0.498,0.359,0.402
17687,2006,Chucky Atkins,PG,31,MEM,43,0.537,0.352,0.442
17688,2006,Stacey Augmon,SF,37,ORL,36,0.412,,0.342
17689,2006,Vin Baker,C,34,LAC,8,0.589,,0.467
17690,2006,Marcus Banks,PG,24,TOT,58,0.543,0.349,0.486
17691,2006,Marcus Banks,PG,24,BOS,18,0.531,0.316,0.443
17692,2006,Marcus Banks,PG,24,MIN,40,0.545,0.364,0.494
17693,2006,Leandro Barbosa,SG,23,PHO,57,0.589,0.444,0.501
17694,2006,Matt Barnes,PF-SF,25,TOT,56,0.545,0.2,0.536
17695,2006,Matt Barnes,SF,25,NYK,6,0.409,0.25,0.385
17696,2006,Matt Barnes,PF,25,PHI,50,0.578,0.182,0.576
17697,2006,Andre Barrett,PG,23,TOT,19,0.398,0.143,0.4
17698,2006,Andre Barrett,PG,23,PHO,2,0.541,0,0.5
17699,2006,Andre Barrett,PG,23,TOR,17,0.386,0.154,0.393
17700,2006,Earl Barron,C,24,MIA,8,0.366,,0.313
17701,2006,Brent Barry,SG,34,SAS,74,0.581,0.396,0.531
17702,2006,Jon Barry,SG,36,HOU,20,0.553,0.375,0.394
17703,2006,Eddie Basden,SF,22,CHI,19,0.471,0.143,0.467
17704,2006,Brandon Bass,PF,20,NOK,29,0.434,,0.4
17705,2006,Esteban Batista,PF,22,ATL,57,0.489,0,0.43
17706,2006,Tony Battie,C,29,ORL,82,0.531,0,0.513
17707,2006,Shane Battier,SF,27,MEM,81,0.574,0.394,0.522
17708,2006,Lonny Baxter,C-PF,27,TOT,41,0.494,,0.433
17709,2006,Lonny Baxter,C,27,HOU,23,0.51,,0.458
17710,2006,Lonny Baxter,PF,27,CHA,18,0.461,,0.375
17711,2006,Charlie Bell,SG,26,MIL,59,0.55,0.423,0.45
17712,2006,Raja Bell,SG,29,PHO,79,0.584,0.442,0.471
17713,2006,Jonathan Bender,SF,25,IND,2,0.85,,0.8
17714,2006,Mike Bibby,PG,27,SAC,82,0.554,0.386,0.458
17715,2006,Andris Biedrins,C,19,GSW,68,0.595,,0.638
17716,2006,Chauncey Billups,PG,29,DET,81,0.602,0.433,0.407
17717,2006,Steve Blake,PG,25,POR,68,0.549,0.413,0.455
17718,2006,Andray Blatche,PF,19,WAS,29,0.45,0.231,0.426
17719,2006,Mark Blount,C,30,TOT,81,0.549,,0.508
17720,2006,Mark Blount,C,30,BOS,39,0.556,,0.511
17721,2006,Mark Blount,C,30,MIN,42,0.542,,0.506
17722,2006,Keith Bogans,SG-SF,25,TOT,72,0.497,0.325,0.436
17723,2006,Keith Bogans,SG,25,CHA,39,0.51,0.337,0.426
17724,2006,Keith Bogans,SF,25,HOU,33,0.482,0.314,0.448
17725,2006,Andrew Bogut,PF,21,MIL,82,0.555,0,0.536
17726,2006,Matt Bonner,PF,25,TOR,78,0.582,0.42,0.478
17727,2006,Calvin Booth,C,29,WAS,33,0.451,0.5,0.422
17728,2006,Carlos Boozer,PF,24,UTA,33,0.585,,0.549
17729,2006,Chris Bosh,C,21,TOR,70,0.585,0,0.511
17730,2006,Bruce Bowen,SF,34,SAS,82,0.54,0.424,0.44
17731,2006,Ryan Bowen,SF,30,HOU,68,0.338,0.136,0.333
17732,2006,Earl Boykins,PG,29,DEN,60,0.513,0.346,0.434
17733,2006,Michael Bradley,PF,26,PHI,46,0.417,0.2,0.419
17734,2006,Elton Brand,PF,26,LAC,79,0.58,0.333,0.527
17735,2006,Primoz Brezec,C,26,CHA,79,0.552,0,0.518
17736,2006,Devin Brown,SG,27,UTA,81,0.493,0.331,0.411
17737,2006,Kwame Brown,C,23,LAL,72,0.545,0,0.527
17738,2006,P.J. Brown,C,36,NOK,75,0.515,,0.461
17739,2006,Rick Brunson,PG,33,TOT,27,0.455,0.385,0.39
17740,2006,Rick Brunson,PG,33,SEA,4,0.625,0,0.714
17741,2006,Rick Brunson,PG,33,HOU,23,0.429,0.417,0.324
17742,2006,Kobe Bryant,SG,27,LAL,80,0.559,0.347,0.482
17743,2006,Greg Buckner,SG,29,DEN,73,0.556,0.354,0.546
17744,2006,Pat Burke,C,32,PHO,42,0.517,0.286,0.508
17745,2006,Antonio Burks,PG,25,MEM,57,0.367,0.167,0.362
17746,2006,Kevin Burleson,PG,26,CHA,39,0.367,0.185,0.353
17747,2006,Caron Butler,SF,25,WAS,75,0.535,0.342,0.469
17748,2006,Jackie Butler,C,20,NYK,55,0.587,,0.544
17749,2006,Rasual Butler,SF,26,NOK,79,0.501,0.38,0.422
17750,2006,Andrew Bynum,C,18,LAL,46,0.394,,0.402
17751,2006,Will Bynum,PG,23,GSW,15,0.457,0.222,0.442
17752,2006,Zarko Cabarkapa,PF,24,GSW,61,0.472,0.25,0.403
17753,2006,Jose Calderon,SG,24,TOR,64,0.495,0.163,0.465
17754,2006,Marcus Camby,C,31,DEN,56,0.499,0.091,0.472
17755,2006,Brian Cardinal,PF,28,MEM,36,0.505,0.448,0.402
17756,2006,Matt Carroll,SG,25,CHA,78,0.54,0.389,0.412
17757,2006,Anthony Carter,PG,30,MIN,45,0.465,0.267,0.402
17758,2006,Vince Carter,SG,29,NJN,79,0.536,0.341,0.459
17759,2006,Sam Cassell,PG,36,LAC,78,0.534,0.368,0.459
17760,2006,Kelvin Cato,C,31,TOT,27,0.493,,0.429
17761,2006,Kelvin Cato,C,31,ORL,23,0.503,,0.431
17762,2006,Kelvin Cato,C,31,DET,4,0.417,,0.417
17763,2006,Tyson Chandler,C,23,CHI,79,0.567,0,0.567
17764,2006,Calbert Cheaney,SF,34,GSW,42,0.412,0,0.42
17765,2006,Josh Childress,SF,22,ATL,74,0.626,0.492,0.56
17766,2006,Doug Christie,SG,35,DAL,7,0.416,0,0.36
17767,2006,Speedy Claxton,PG,27,NOK,71,0.497,0.27,0.426
17768,2006,Mateen Cleaves,PG,28,SEA,27,0.448,0.25,0.382
17769,2006,Jarron Collins,C,27,UTA,79,0.551,,0.461
17770,2006,Jason Collins,C,27,NJN,71,0.425,0.25,0.404
17771,2006,Nick Collison,PF,25,SEA,66,0.556,0,0.529
17772,2006,Brian Cook,PF,25,LAL,81,0.578,0.429,0.527
17773,2006,Jamal Crawford,SG,25,NYK,79,0.544,0.345,0.452
17774,2006,Austin Croshere,PF,30,IND,50,0.618,0.386,0.538
17775,2006,Eddy Curry,C,23,NYK,72,0.604,,0.563
17776,2006,Samuel Dalembert,C,24,PHI,66,0.568,0,0.533
17777,2006,Erick Dampier,C,30,DAL,82,0.531,,0.493
17778,2006,Antonio Daniels,SG,30,WAS,80,0.55,0.228,0.461
17779,2006,Marquis Daniels,SG,25,DAL,62,0.535,0.211,0.491
17780,2006,Antonio Davis,PF-C,37,TOT,44,0.479,0,0.434
17781,2006,Antonio Davis,PF,37,NYK,36,0.487,0,0.43
17782,2006,Antonio Davis,C,37,TOR,8,0.44,,0.452
17783,2006,Baron Davis,PG,26,GSW,54,0.489,0.315,0.434
17784,2006,Dale Davis,C,36,DET,28,0.425,0,0.391
17785,2006,Josh Davis,PF,25,TOT,6,0.361,0,0.4
17786,2006,Josh Davis,PF,25,MIL,4,0.25,0,0.333
17787,2006,Josh Davis,PF,25,HOU,1,,,
17788,2006,Josh Davis,PF,25,PHO,1,0.463,0,0.5
17789,2006,Ricky Davis,SG-SF,26,TOT,78,0.521,0.302,0.481
17790,2006,Ricky Davis,SG,26,BOS,42,0.529,0.32,0.495
17791,2006,Ricky Davis,SF,26,MIN,36,0.511,0.282,0.464
17792,2006,Carlos Delfino,SG,23,DET,68,0.483,0.333,0.428
17793,2006,Tony Delk,PG-SG,32,TOT,24,0.526,0.426,0.447
17794,2006,Tony Delk,SG,32,ATL,1,0.532,,0
17795,2006,Tony Delk,PG,32,DET,23,0.526,0.426,0.451
17796,2006,Luol Deng,SF,20,CHI,78,0.517,0.269,0.481
17797,2006,Boris Diaw,PF,23,PHO,81,0.564,0.267,0.536
17798,2006,Dan Dickau,PG,27,BOS,19,0.575,0.5,0.269
17799,2006,Travis Diener,PG,23,ORL,23,0.614,0.439,0.333
