Year,Player,Age,Tm,G
17662,2006,Shareef Abdur-Rahim,29,SAC,72
17663,2006,Alex Acker,23,DET,5
17664,2006,Malik Allen,27,CHI,54
17665,2006,Ray Allen,30,SEA,78
17666,2006,Tony Allen,24,BOS,51
17667,2006,Rafer Alston,29,HOU,63
17668,2006,Chris Andersen,27,NOK,32
17669,2006,Alan Anderson,23,CHA,36
17670,2006,Derek Anderson,31,TOT,43
17671,2006,Derek Anderson,31,HOU,20
17672,2006,Derek Anderson,31,MIA,23
17673,2006,Shandon Anderson,32,MIA,48
17674,2006,Martynas Andriuskevicius,19,CLE,6
17675,2006,Carmelo Anthony,21,DEN,80
17676,2006,Rafael Araujo,25,TOR,52
17677,2006,Gilbert Arenas,24,WAS,80
17678,2006,Trevor Ariza,20,TOT,57
17679,2006,Trevor Ariza,20,NYK,36
17680,2006,Trevor Ariza,20,ORL,21
17681,2006,Darrell Armstrong,37,DAL,62
17682,2006,Carlos Arroyo,26,TOT,77
17683,2006,Carlos Arroyo,26,DET,50
17684,2006,Carlos Arroyo,26,ORL,27
17685,2006,Chucky Atkins,31,TOT,71
17686,2006,Chucky Atkins,31,WAS,28
17687,2006,Chucky Atkins,31,MEM,43
17688,2006,Stacey Augmon,37,ORL,36
17689,2006,Vin Baker,34,LAC,8
17690,2006,Marcus Banks,24,TOT,58
17691,2006,Marcus Banks,24,BOS,18
17692,2006,Marcus Banks,24,MIN,40
17693,2006,Leandro Barbosa,23,PHO,57
17694,2006,Matt Barnes,25,TOT,56
17695,2006,Matt Barnes,25,NYK,6
17696,2006,Matt Barnes,25,PHI,50
17697,2006,Andre Barrett,23,TOT,19
17698,2006,Andre Barrett,23,PHO,2
17699,2006,Andre Barrett,23,TOR,17
17700,2006,Earl Barron,24,MIA,8
17701,2006,Brent Barry,34,SAS,74
17702,2006,Jon Barry,36,HOU,20
17703,2006,Eddie Basden,22,CHI,19
17704,2006,Brandon Bass,20,NOK,29
17705,2006,Esteban Batista,22,ATL,57
17706,2006,Tony Battie,29,ORL,82
17707,2006,Shane Battier,27,MEM,81
17708,2006,Lonny Baxter,27,TOT,41
17709,2006,Lonny Baxter,27,HOU,23
17710,2006,Lonny Baxter,27,CHA,18
17711,2006,Charlie Bell,26,MIL,59
17712,2006,Raja Bell,29,PHO,79
17713,2006,Jonathan Bender,25,IND,2
17714,2006,Mike Bibby,27,SAC,82
17715,2006,Andris Biedrins,19,GSW,68
17716,2006,Chauncey Billups,29,DET,81
17717,2006,Steve Blake,25,POR,68
17718,2006,Andray Blatche,19,WAS,29
17719,2006,Mark Blount,30,TOT,81
17720,2006,Mark Blount,30,BOS,39
17721,2006,Mark Blount,30,MIN,42
17722,2006,Keith Bogans,25,TOT,72
17723,2006,Keith Bogans,25,CHA,39
17724,2006,Keith Bogans,25,HOU,33
17725,2006,Andrew Bogut,21,MIL,82
17726,2006,Matt Bonner,25,TOR,78
17727,2006,Calvin Booth,29,WAS,33
17728,2006,Carlos Boozer,24,UTA,33
17729,2006,Chris Bosh,21,TOR,70
17730,2006,Bruce Bowen,34,SAS,82
